DRUG,HEADACHE,0CCIPIT,BRAIN,FOREHEAD,,TEMPROL,,VERTEX,MODALITY,VERTIGO1,VOMITING,OTHERORGANS,HEAD POSITION,NOSE,FACE,EAR,ASSOCIATED SYMPTOMS,TEETH,,EYE,,DAY,NIGHT,MIND,STOOL,SENSATION,FEMALE,SCALP,VERTIGO2,TONGUE,,SLEEP,THROAT,HEART,DISEASE,,,SWEAT,STOMACH,EXTERMITIES
Abisinthium,,dull ache,,,,,,,,tendency to fall backwards,,,wants headlow,,"Spsmodic twitch, face blue",,general confusion,,,"Pupils unequally dilated[gels,pic-ac]",,,,,,,,,,,,,,,,,,,,
Abies-can,,,,,,,,,,,,,,,,,"feels light head,tipsy irritable",,,,,,,,,,,,,,,,,,,,,,,
Abies-nig,,,,,,,,,,,,,,,,,,,,,,"Dull ache during day,",wakefull at night,,,,,,,,,,,,,,,,,
Acetanilidum,,,,,,,,,,,,,,,,,,,,,,,,,,"enlarged ,fainting",,,,,,,,,,,,,,
Acetic-acid,"nervous headache, from narcotics",,,,,temporal vessel distended,,,,,,,,,,,pain across root of tongue,,,,,,,,,,,,,,,,,,,,,,,
Aconitum-nsp,burning headache,,,,,,,,,"worse on rising[nux,opium],shaking head",,,,,,,burning headache as if brain were moved by boiling water[indigo],,,,,,,,,sensation on vertexas if hair were pulled or stood onend,,,,,,,,,,,,,,
Actea-sp,Tearing headache ebbulation of blood to head by coffee,,,"heatin forehead,pain in left frontal eminence",,,,pain from crown to between eye brows,,"vertigo,tearing headache,better open air",,,,,,,"nose red at tip ,fluent coryza. Throbbing in brain",,,,,,,,,,,itch scalp alternat with heat,,,,,,,,,,,,
Adonis-ver,feels light,fromocciput around temple to  eyes,,aches across front,,from occiput  around temple to eye',,,,,,,,,,,,,,"eyes dilated,aches from temple to eye",,,,,,,,scalp feels tight,"Vertigo on rising,turnig head quickly or lying down",,,,,,,,,,,
AesculusHIP,AcheAsFromCold,occiput To FrontalBruisedScalp,,pressureNauseaFollowStitchRtHypocondria,,,,,,,,,,,,,neurolgicStitchRtToLeftThroughForehead,,,,,,,depressedIrritableDullConfused,,,,,,,,,,,,,,,,
AesculusHIP,,,,,,,,,,SittingAndWalking,,,,,,,follow FlyingPainInEpigastrium,,,,,,,,,,,,,,,,,,,,,,,
AethusaCyna,,occiputPainExtendSpine,,,,,,,BetterLyingPressure,headHOTafterVertigoCeases,,,,,,,HeadSympRelivedByFlatusBYStoolSangu,,,,,,,,,,,HairFeelsPulled,VertigoDrowsinessWithPalipitation,,,,,,,,,,,
Agaricus,dullAcheFromProlongDeskWork,FallBackAsIfWeightOcc,,,,LatHeadacheAsFromNailCoffIgnatia,,,desireCoverHeadWarmSilicia,SunLightWalk,,HeadacheWithNoseBleedOrThickMucus,,,,,icycoldIcyNeedleNeurlgiaIcyColdHead,,,,,,,,,headConstantMotion,,,,,,,,,,,,,,
AilunthusGlandulsa,passiveCongestion,,,frontaAcheWithDrowsiness,,,,,,,,,,ThinIchorusBloodyDischarge,FaceDusky,,,,,SuffusedDilatePhotophobia,,,,,,,,,,,,,,,,,,,,
AlfaAlfa,painINleftSideHead,OccDullHeavyInAboveEYE,,,,,,,WorseTowardEvening,,,,,,,,violentHeadache,,,,,,,,,,,,,,,,,,,,,,,
AlliumCepa,,,,catarrhalAcheMostlyForehead,,,,,WorseWarmRoomEvening,,,,,,threadLikePAINinFace,,CEASEmensesFlowAppearsStopFlow,,,,,,,,,,,,,,,,,,,,,,,
AlliumSativa,,,,,,heavyPulsationINtemples,,,,,,,,,,CatarrhalDeafness,,,,,,,,,,,,,,,,,,,,,,,,
