,DRUG,HEADACHE,0CCIPIT,BRAIN,FOREHEAD,Unnamed: 5,TEMPROL,Unnamed: 7,VERTEX,MODALITY,VERTIGO1,VOMITING,OTHERORGANS,HEAD POSITION,NOSE,FACE,EAR,ASSOCIATED SYMPTOMS,TEETH,Unnamed: 19,EYE,Unnamed: 21,DAY,NIGHT,MIND,STOOL,SENSATION,FEMALE,SCALP,VERTIGO2,TONGUE,Unnamed: 31,SLEEP,THROAT,HEART,DISEASE,Unnamed: 36,Unnamed: 37,SWEAT,STOMACH,EXTERMITIES
0,Abisinthium,,dull ache,,,,,,,,tendency to fall backwards,,,wants headlow,,"Spsmodic twitch, face blue",,general confusion,,,"Pupils unequally dilated[gels,pic-ac]",,,,,,,,,,,,,,,,,,,,
1,Abies-can,,,,,,,,,,,,,,,,,"feels light head,tipsy irritable",,,,,,,,,,,,,,,,,,,,,,,
2,Abies-nig,,,,,,,,,,,,,,,,,,,,,,"Dull ache during day,",wakefull at night,,,,,,,,,,,,,,,,,
3,Acetanilidum,,,,,,,,,,,,,,,,,,,,,,,,,,"enlarged ,fainting",,,,,,,,,,,,,,
4,Acetic-acid,"nervous headache, from narcotics",,,,,temporal vessel distended,,,,,,,,,,,pain across root of tongue,,,,,,,,,,,,,,,,,,,,,,,
5,Aconitum-nsp,burning headache,,,,,,,,,"worse on rising[nux,opium],shaking head",,,,,,,burning headache as if brain were moved by boiling water[indigo],,,,,,,,,sensation on vertexas if hair were pulled or stood onend,,,,,,,,,,,,,,
6,Actea-sp,Tearing headache ebbulation of blood to head by coffee,,,"heatin forehead,pain in left frontal eminence",,,,pain from crown to between eye brows,,"vertigo,tearing headache,better open air",,,,,,,"nose red at tip ,fluent coryza. Throbbing in brain",,,,,,,,,,,itch scalp alternat with heat,,,,,,,,,,,,
7,Adonis-ver,feels light,fromocciput around temple to  eyes,,aches across front,,from occiput  around temple to eye',,,,,,,,,,,,,,"eyes dilated,aches from temple to eye",,,,,,,,scalp feels tight,"Vertigo on rising,turnig head quickly or lying down",,,,,,,,,,,
8,AesculusHIP,AcheAsFromCold,occiput To FrontalBruisedScalp,,pressureNauseaFollowStitchRtHypocondria,,,,,,,,,,,,,neurolgicStitchRtToLeftThroughForehead,,,,,,,depressedIrritableDullConfused,,,,,,,,,,,,,,,,
9,AesculusHIP,,,,,,,,,,SittingAndWalking,,,,,,,follow FlyingPainInEpigastrium,,,,,,,,,,,,,,,,,,,,,,,
