DRUG,HEADACHE,0CCIPIT,BRAIN,FOREHEAD,Unnamed: 5,TEMPROL,Unnamed: 7,VERTEX,MODALITY,VERTIGO1,VOMITING,OTHERORGANS,HEAD POSITION,NOSE,FACE,EAR,ASSOCIATED SYMPTOMS,TEETH,Unnamed: 19,EYE,Unnamed: 21,DAY,NIGHT,MIND,STOOL,SENSATION,FEMALE,SCALP,VERTIGO2,TONGUE,Unnamed: 31,SLEEP,THROAT,HEART,DISEASE,Unnamed: 36,Unnamed: 37,SWEAT,STOMACH,EXTERMITIES,DRUG,BACK,SPINE,OCCIPUT,MUSCLES,KIDNEY,FEMALE,CHEST,NECK,DORSAL,SCAPULA,LUMBAR,SACRUM,COCCYX,PELVIS,BLADDER,BONE,WORSE,BETTER,SENSATION,ASSOCIATE SYMPTOMS,MUSCLES.1,SCIATICA,LIMBS,SHOULDERS, DISEASE,WALK,GLANDS,PAIN,LOINS,NEUROLGIA,TENDON,DRUG,BACK,SPINE,OCCIPUT,MUSCLES,KIDNEY,FEMALE,CHEST,NECK,DORSAL,SCAPULA,LUMBAR,SACRUM,COCCYX,PELVIS,BLADDER,BONE,WORSE,BETTER,SENSATION,ASSOCIATE SYMPTOMS,MUSCLES.1,SCIATICA,LIMBS,SHOULDERS, DISEASE,WALK,GLANDS,PAIN,LOINS,NEUROLGIA,TENDON,DRUG, UTERUS, OVERIES,   CERVIX,BREAST,VAGINA,MENSTRUATION, LEUCORRHOEA,Unnamed: 8,FLOW NATURE,  FIBROIDS, ASSOCIATED SYMPTOMS, EXTERMITIES,BACK,MILK, ORGANS ASSOCIATE        , PREGNANCY,LABOR, SUPPRESSION, MIND, ERUPTION,GENITALS,MENOPAUSE,ABORTION,PREGNENCY,AMENORRHOEA,CLIMACTERIC,URETHRA,WORSE,BETTER,ABDOMEN,DYSMENORRHOEA,Unnamed: 32,METRORRHAGIA,Unnamed: 34,PELVIS,NIGHT,DAY,LOCHIA,SEXUAL,DISEASE,SENSATION,FEVER,STERILITY,CIRCULATION,MENORRHAGE,Unnamed: 46,NON RELATED,NON RELATED.1
Abisinthium,,dull ache,,,,,,,,tendency to fall backwards,,,wants headlow,,"Spsmodic twitch, face blue",,general confusion,,,"Pupils unequally dilated[gels,pic-ac]",,,,,,,,,,,,,,,,,,,,,Abies nigra,pain small back,,,,,,,,,,,,,,,rheumatic pain and aching bones,,,,,,,,,,,,,,,,Abies nigra,pain small back,,,,,,,,,,,,,,,rheumatic pain and aching bones,,,,,,,,,,,,,,,,Abies canadensis,"uterus displacement,sore feel fundus,better pressure",,,,,,,,,,"wants to lie down all time ,allways",,,,thinks womb soft and feeble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abies-can,,,,,,,,,,,,,,,,,"feels light head,tipsy irritable",,,,,,,,,,,,,,,,,,,,,,,,Abrotanum,back lame weak painful,,,,,,,neck weak can not hold up,,,pain lumbar extend along spermatic cord,pain sacrum with haemorroid piles,,,,,,,,,,,,,,,,,,,,Abrotanum,back lame weak painful,,,,,,,neck weak can not hold up,,,pain lumbar extend along spermatic cord,pain sacrum with haemorroid piles,,,,,,,,,,,,,,,,,,,,Acetic Acid,,,,"breast enlarged painfully, distended with milk",,excess catamenia or menstruation,,,,,anaemia nursing mothers,,,"milk impovershed,bluish,transparent,sour",,Nausea pregnency,Haemorrhage after labor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abies-nig,,,,,,,,,,,,,,,,,,,,,,"Dull ache during day,",wakefull at night,,,,,,,,,,,,,,,,,,AceticAcid,,,,,,,,,,,,,,,,,,pain back better relived by lying on abdomen,,,,,,,,,,,,,,AceticAcid,,,,,,,,,,,,,,,,,,pain back better relived by lying on abdomen,,,,,,,,,,,,,,Aconitum Nepllus,"sharp shooting pain in uterus,womb","ovaries conjested,painfull",,,"vagina dry,hot sensitive","menses too profuse with nosebleed,too protracted,late",,,,,frenzy on appearance menses,,,,,,,"suppressed from fright,cold,plethoric subjects",after with pains with fear and restlessness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetanilidum,,,,,,,,,,,,,,,,,,,,,,,,,,"enlarged ,fainting",,,,,,,,,,,,,,,Aconitum Napellus,,,,,,,,stiffness nape neck,,bruised pain between scapulae,,,,,,,,,numb stiff painfull crawling tingling asif bruised,,,,,,,,,,,,,Aconitum Napellus,,,,,,,,stiffness nape neck,,bruised pain between scapulae,,,,,,,,,numb stiff painfull crawling tingling asif bruised,,,,,,,,,,,,,Aesculus Hippocastanum,,,,,,,leucorrhoea with lameness back across sacro ilac articulation,,,,"leucorrhoea dark yellow sticky corroding,worse after menses",,,,constant throbb behind symphysis pubis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetic-acid,"nervous headache, from narcotics",,,,,temporal vessel distended,,,,,,,,,,,pain across root of tongue,,,,,,,,,,,,,,,,,,,,,,,,AdonisVernalis,spine stiff aching,,,,,,,aching nape,,,,,,,,,,,oedema,,,,,,,,,,,,,AdonisVernalis,spine stiff aching,,,,,,,aching nape,,,,,,,,,,,oedema,,,,,,,,,,,,,Aethusa cynapium,,,,swelling mammary gland with lancinating pain,,menses watery,,,,,,,,,lancinating pain in sexual organs,,,,,"Pimples,itch in warm warm",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aconitum-nsp,burning headache,,,,,,,,,"worse on rising[nux,opium],shaking head",,,,,,,burning headache as if brain were moved by boiling water[indigo],,,,,,,,,sensation on vertexas if hair were pulled or stood onend,,,,,,,,,,,,,,,Aesculus Hippocastanum,back and legs give out,region area spine feels weak,,,,,,lameness neck,,aching between shoulder blades,,backache affecting sacrum and hips worse walking stooping,,,,,,,,,,,,,,,,,,,,Aesculus Hippocastanum,back and legs give out,region area spine feels weak,,,,,,lameness neck,,aching between shoulder blades,,backache affecting sacrum and hips worse walking stooping,,,,,,,,,,,,,,,,,,,,Agaricus muscarius,,,,"nipples itch,burn",,"menses ,increased,earlier",leucorrhoea with much itching,,,,,,,,sexual excitement,,complaint follow parturition and coitus,,,,"itching,tearing pressive pain of  genitals and back",sever bearing down pains esp after menopause,,,,,,,,,spasmodic dysmenorrhoea,,,,,,,,,,,,,,,,,
Actea-sp,Tearing headache ebbulation of blood to head by coffee,,,"heatin forehead,pain in left frontal eminence",,,,pain from crown to between eye brows,,"vertigo,tearing headache,better open air",,,,,,,"nose red at tip ,fluent coryza. Throbbing in brain",,,,,,,,,,,itch scalp alternat with heat,,,,,,,,,,,,,AethusCynapium,back feel asif in vise,,,,,,,,,,,,,,,,,,want power to stand up or head hold up,aching in small back,,,,,,,,,,,,AethusCynapium,back feel asif in vise,,,,,,,,,,,,,,,,,,want power to stand up or head hold up,aching in small back,,,,,,,,,,,,Agnus Castus,,,,,,scanty menses,Relaxation genitals with leucorrhoea,,,,leucorrhoe stain yellow tranparent,,,Agalactia with sadness,,,,,Hysterical palipitaion with nose bleed,,"abhorrence sexual intercourse,sterility",,,,,,,,,,,,,,,,,,,,,,,,,,,
Adonis-ver,feels light,fromocciput around temple to  eyes,,aches across front,,from occiput  around temple to eye',,,,,,,,,,,,,,"eyes dilated,aches from temple to eye",,,,,,,,scalp feels tight,"Vertigo on rising,turnig head quickly or lying down",,,,,,,,,,,,AgaricusMuscarius,crick or sudden spasm muscle in back,pain with sensitiveness spine to touch worse dorsal region area,,,,,,twitching cervical muscles,,,lumbago worse in open air,,,,,,,,,,,,,,,,,,,,,AgaricusMuscarius,crick or sudden spasm muscle in back,pain with sensitiveness spine to touch worse dorsal region area,,,,,,twitching cervical muscles,,,lumbago worse in open air,,,,,,,,,,,,,,,,,,,,,Aletris Farinosa,"uterus seems heavy,prolapse with pain in right inguinal region",,,,,"premature,profuse menses with labor like pains",leucorrhoea due to weakness and anaemia,,"Retarted ,scanty flow",,,,,,,,,,,,,,habitual tendency abortion,muscular pains during pregnency,,,,,,,,,,,,,,,,,,,,,,,,
AesculusHIP,AcheAsFromCold,occiput To FrontalBruisedScalp,,pressureNauseaFollowStitchRtHypocondria,,,,,,,,,,,,,neurolgicStitchRtToLeftThroughForehead,,,,,,,depressedIrritableDullConfused,,,,,,,,,,,,,,,,,Aloe,pain small back worse moving,,,,,,,,,,lumbago or back pain alternate with headache and piles,stitches through sacrum,,,,,,,,,,,,,,,,,,,,Aloe,pain small back worse moving,,,,,,,,,,lumbago or back pain alternate with headache and piles,stitches through sacrum,,,,,,,,,,,,,,,,,,,,Allium sativum,,,,pain in swelling breast,,,,,,,,,,,,,,,,"eruption on vagina,breast,vulva during menses",,,,,,,,,,,,,,,,,,,,,,,,,,,,
AesculusHIP,,,,,,,,,,SittingAndWalking,,,,,,,follow FlyingPainInEpigastrium,,,,,,,,,,,,,,,,,,,,,,,,Alumina,,pain along spinal cord with paralytic weakness,,,,,,,,,,,,,,,,,stitches gnawing pain asif from hot iron,,,,,,,,,,,,,Alumina,,pain along spinal cord with paralytic weakness,,,,,,,,,,,,,,,,,stitches gnawing pain asif from hot iron,,,,,,,,,,,,,Alnus,,,,,,,"leucorrhoea with erosion cervix,bleed easily",,,,,,,,,,,,,,,,,,"Amenorrhoea with burning pain, back to pubis",,,,,,,,,,,,,,,,,,,,,,,
AethusaCyna,,occiputPainExtendSpine,,,,,,,BetterLyingPressure,headHOTafterVertigoCeases,,,,,,,HeadSympRelivedByFlatusBYStoolSangu,,,,,,,,,,,HairFeelsPulled,VertigoDrowsinessWithPalipitation,,,,,,,,,,,,AmmoniumBenzoicum,,,,,soreness in region area of right kidney,,,,,,,pain across sacrum with urgency to stool,,,,,,,,,,,,,,,,,,,,AmmoniumBenzoicum,,,,,soreness in region area of right kidney,,,,,,,pain across sacrum with urgency to stool,,,,,,,,,,,,,,,,,,,,Aloe,"uterus feel heavy,can not walk much on that account",,,,,menses too early too profuse,,,,,,,,,"bearing pain in rectum, worse standing during menses",,"labor like pain lion,extend down leg",,,,,,,,,Climacteric bleeding,,,,,,,,,,,,,,,,,,,,,,
Agaricus,dullAcheFromProlongDeskWork,FallBackAsIfWeightOcc,,,,LatHeadacheAsFromNailCoffIgnatia,,,desireCoverHeadWarmSilicia,SunLightWalk,,HeadacheWithNoseBleedOrThickMucus,,,,,icycoldIcyNeedleNeurlgiaIcyColdHead,,,,,,,,,headConstantMotion,,,,,,,,,,,,,,,AmmoniumMuriaticum,backacheasif in vise when sitting,,,,,,,,,"icy coldness between shoulders, not relived better by warm covering follow itch",,,bruised pain in coccyx when sitting,,,,,,,,,,,,,,,,,,,AmmoniumMuriaticum,backacheasif in vise when sitting,,,,,,,,,"icy coldness between shoulders, not relived better by warm covering follow itch",,,bruised pain in coccyx when sitting,,,,,,,,,,,,,,,,,,,Alumen,tendency induration neck  uterus and mammary glands,,,,"chr yellow vaginal discharge,apthous patches in vagina",menses watery,,,,,,,,,,,,,,,,,,,,,chr gonorrhoe yellow little lumps along urethra,,,,,,,,,,,,,,,,,,,,,
AilunthusGlandulsa,passiveCongestion,,,frontaAcheWithDrowsiness,,,,,,,,,,ThinIchorusBloodyDischarge,FaceDusky,,,,,SuffusedDilatePhotophobia,,,,,,,,,,,,,,,,,,,,,Anacardium,,,,,,,,stiffness at nape neck,,,,,,,,,,,,,,,,dull pressure in shoulders as from weight,,,,,,,,Anacardium,,,,,,,,stiffness at nape neck,,,,,,,,,,,,,,,,dull pressure in shoulders as from weight,,,,,,,,Alumina,,,,,,menses too early short scanty pale followed great exhaustion,leucorrhoea acrid profuse transparent ropy with burning worse during day worse afte menses,,,,,,,,,,,,,,,,,,,,,,better by washing with cold water,,,,,,,,,,,,,,,,,,,
