DRUG,DISEASE,GLANDS,OCCIPUT,EXTERMITIES,LIMBS,MUSCLES,BONES,VEINS,ABDOMEN,SCIATICA,SPINE,SKIN,SHOULDER,SCAPULA,CLAVICLE,UPPER LIMB,UPPER ARM,ELBOW,FOREARM,WRIST,PALMS,HANDS,FINGERS,NAILS,LOINS,BACK,LOWER LIMBS,PELVIS,SCIATICA,HIPS,THIGHS,KNEES,LEGS,CALF,ANKLES,HEEL,FOOTS,TOES,SOLES,JOINTS  ,LIGAMENTS,ASSOCIATED SYMPTOMS,PAINS,SENSATIONS,,WALK,PAIN,BETTER,WORSE,NEUROLGIA,MIND,AXILLAE,DAY,NIGHT,PARALYSIS,,
Abrotanum,,,,,,,,,,,,,,,,"pain shoulders, arms, wrists and ankles",,,,,,,pricking coldness fingers feet,,,,,,,,,,,,legs greatly emaciated,,,,,joints stiff and lame,,painfull contration limbs,,,,,,,,,,,,,,,
Acetic Acid,emaciation,,,,,,,,,,,,,,,,,,,,,,,,,,edema feet legs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AconitumNapellus,,,,,,,,,,,,,,,,icy cold and insensible hands feet,arms feel lame bruised heavy numb,,,,,both hands of hypothenar eminences bright red,,,,,,,,hip joint thigh feel lame especially after lying down,sensation asif water trickled down thigh,"knees unsteady,  disposition  foot to turn",,,,,"cold feets ,hot hands",,,"rhematic inflamation joints worse night,red shinig swelling sensitive",weak and lax ligaments of all joints,pain down left arm,painless crackling all joints,numbness tingling shooting pains,,,,,,,,,,,,,
Actea Spicata,"rheumatic pains in small joints, wrists, fingers, ankles, toes",,,,,,,,,,,,,,,,lame feeling in arms,,,"wrist swelling, red, worse any motion",,paralytic weakness in hands,,,tearing pain in loins,,,,,,,pain in knees,,,,,,,,swelling of joints from slight fatigue,,sudden lassitude or lack of energy after talking eating,,,,,,,,,,,,,,,
Adonis Vernalis,,,,,,,,,,,,,,,,,,,,,,,,,,Aching in nape. Spine stiff aching edema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aesculus Hippocastanum,,,,aching and soreness in limbs,,,,,,,,,,,in left acromion process with shooting down arms,,,,,,,"hands and feet swelling, and red after washing,feelfull",finger tips numb,,,,,,,,,,,,,,when walking feet turn under,,"soles feel sore, tired, swell",,,,,,,,,,,,,,,,,,
Aethusa Cynapium,,,,,,,,,,,,,,,,,,,,,,,finger and thumb clenched,,,,weakness of lower extermities,,,,,,,,,,,,,,,violent spasms. Squinting of eyes downward,,numbness hands and feet,,,,,,,,,,,,,
Agaricus Muscarius,neurolgia locomotor ataxia or in coordinate movements,,,,,,,,,,,,,,,,paralytic pain in left arm followed palpitation,,,,,,,,weakness in loins,,paralysis of lower limbs with spasmodic condition of arms,,,pain over hips,,,pain in leg or shin-bone or tibia,tearing painful contraction in the calves,,,itching of toes and feet as if frozen,,cramps in soles feet,,,numbness of legs on crossing them,,"stiffness all over, trembling",,uncertain gait or sequence foot movement,,,,,,,,,,,
Allium Cepa,,,,limbs especially arms feel sore and tired,,,,,,,,,,,,,,,,,,,painful affection figers about nails,,,,,,,,,,,,,ulcers on heel,bad effects from getting feet wet,,,lame joints,,,,,,,,,,neurolgia of stump,,,,,,,
